region,population_norm,cost_of_living_all,cost_of_living_work,cost_of_living_retired,cost_of_living_child,disabled_total,disabled_60_,disabled_work,morbidity,poverty_socdem_16,poverty_socdem_retired,poverty_socdem_work,poverty_percent,welfare,per_capita,formal_wage,housing_Нет_стесненности,housing_Жилая_площадь,housing_Комнат,gross_regional_product,crim_alco_nark_tox,crim_group,retail,regional_production,child_count,retired_count,lat,lon,child_mortality_newborn,drug_alco
Алтайский край,2296353,10211,10904,8715,10349,7.287,14.185,5.706,112764.7,5.495,1.61,10.395,17.5,29.7,23864,23864,83.2,18.0,2.4,291156.9,9442,1054,153605,852443350.24,490149,758000,53.3468,83.7768,19879.0,105.5
Амурская область,781846,13530,14331,10884,14387,7.95,16.452,6.489,83412.0,5.837,0.714,8.649,15.2,21.7,35499,35499,77.3,17.3,2.3,571362.1,3233,518,245233,404576467.0,178702,231000,50.2839,127.5414,7811.0,137.7
Архангельская область,1082662,13304,14507,11042,12965,7.654,13.85,5.896,99842.1,3.506,0.886,7.909,12.3,21.4,34852,34852,83.3,16.9,2.4,514200.4,4046,1066,250033,664106996.04,226228,407000,64.5401,40.5433,8877.0,73.9
Астраханская область,997778,10793,11287,8998,11547,4.287,8.889,3.823,64679.9,6.568,0.858,8.174,15.6,31.4,25199,25199,77.5,19.2,2.3,526950.9,2606,821,174527,724597755.8,227512,263000,46.3476,48.0302,10847.0,22.4
Белгородская область,1541259,9593,10403,8024,9435,12.428,26.044,7.881,74637.4,3.226,0.929,3.046,7.2,16.1,32841,32841,86.3,17.8,2.6,646569.0,2300,675,237076,1948293818.62,290694,512000,50.5956,36.5873,12305.0,44.5
Брянская область,1182682,10950,11760,9104,10672,8.765,15.999,6.866,77439.0,6.093,0.503,7.018,13.6,23.1,28596,28596,94.7,24.1,3.2,347204.5,3115,691,225643,566924480.2,226200,416000,53.2434,34.3634,9439.0,88.3
Владимирская область,1342099,10808,11800,9106,10849,8.83,17.779,5.896,94163.6,4.35,0.6,7.55,12.5,26.0,25922,25922,81.8,16.1,2.2,410443.6,3100,658,177680,1162651995.94,251098,456000,56.129,40.4066,10059.0,74.3
Волгоградская область,2474556,9864,10604,8035,9901,6.746,13.653,5.101,64210.5,5.498,0.476,5.926,11.9,25.1,24864,24864,82.7,17.9,2.5,394256.5,6331,1646,167446,1808536910.22,476278,760000,48.7082,44.5152,19566.0,63.300000000000004
Вологодская область,1151042,11428,12438,9465,11216,7.863,16.56,5.459,91608.4,5.517,0.294,6.989,12.8,25.9,29522,29522,87.5,16.9,2.2,544379.2,3655,887,182920,1554870357.5,249606,372000,59.2205,39.8915,10639.0,56.2
Воронежская область,2305608,9053,9834,7602,8895,9.178,18.461,6.408,55009.9,2.422,0.195,5.882,8.5,21.6,32078,32078,87.0,19.9,2.6,459629.5,4186,1172,252416,1436533490.8,410064,748000,51.6615,39.2003,19091.0,95.9
Еврейская автономная область,156500,15416,16336,12433,16128,7.79,15.787,6.682,70367.2,8.213,2.549,12.838,23.6,31.2,28048,28048,82.2,13.8,2.2,400340.5,514,57,168066,55938814.6,36731,46000,48.7946,132.9218,1594.0,152.4
Забайкальский край,1053485,12999,13518,10273,13691,7.181,15.745,6.179,65922.4,6.981,1.505,12.394,20.9,26.5,27046,27046,81.9,17.1,2.4,402594.6,6407,990,164741,479071355.6,267219,283000,52.0317,113.5009,12420.0,87.3
Ивановская область,987032,10581,11535,8858,10520,7.596,15.589,5.141,88473.5,6.508,0.685,6.508,13.7,25.1,26277,26277,76.9,18.1,2.4,273821.5,2333,549,180314,439572223.2,183166,322000,57.0003,40.9714,7535.0,84.2
Иркутская область,2375021,11982,12745,9674,12455,8.573,15.246,8.513,99980.3,7.304,1.232,9.064,17.6,28.6,27571,27571,79.8,16.3,2.4,631591.9,9077,1491,164879,2435841066.0,579496,754000,52.287,104.281,26970.0,97.4
Кабардино-Балкарская Республика,869191,11311,11819,8922,11804,6.468,13.222,6.395,44792.0,8.688,1.621,13.891,24.2,34.4,21957,21957,71.0,18.9,3.3,210674.1,681,453,154476,100210460.16,206831,203000,43.4853,43.607,10547.0,61.6
Калининградская область,1018624,12084,12943,9866,11782,6.504,15.615,4.221,82758.6,3.928,0.823,8.748,13.5,12.6,29518,29518,80.7,15.6,2.3,530036.9,2035,346,183286,1303663777.26,199534,278000,54.7104,20.5109,9251.0,83.3
Калужская область,1000980,10964,11518,8882,10497,7.508,15.385,5.314,75548.6,3.017,1.785,4.889,9.7,16.9,32442,32442,79.9,15.5,2.2,558174.6,2215,1266,214672,1848178887.8,187497,317000,54.5293,36.2754,8961.0,64.1
Камчатский край,311667,21524,22535,17040,23038,4.178,7.937,3.711,77458.3,6.22,0.861,7.519,14.6,13.3,55373,55373,73.2,15.9,2.2,942802.0,1120,198,202352,357628518.3,65590,92000,53.0167,158.65,3226.0,72.3
Карачаево-Черкесская Республика,465357,10277,10926,8369,10553,11.061,17.815,12.435,63347.1,6.403,1.601,15.196,23.2,26.5,18949,18949,71.0,18.3,2.9,207471.5,743,588,83515,81138737.0,105502,125000,44.2233,42.0578,5093.0,27.1
Кемеровская область,2633446,10403,11023,8383,10844,8.012,15.171,6.767,86241.9,5.24,0.594,7.366,13.2,23.0,25433,25433,85.4,16.3,2.4,392374.9,10829,1450,153033,3031613466.8199997,575933,854000,55.3443,86.0821,22416.0,51.5
Кировская область,1250173,10710,11441,8680,11060,9.339,19.317,5.807,74475.5,5.712,0.476,7.798,14.0,27.6,24192,24192,85.7,14.9,2.2,315153.9,4682,683,163224,612241879.12,253990,436000,58.5966,49.6601,10579.0,60.5
