region,population_norm,cost_of_living_all,disabled_total,disabled_60_,disabled_work,morbidity,poverty_socdem_16,poverty_socdem_retired,poverty_socdem_work,poverty_percent,welfare,per_capita,formal_wage,housing_Нет_стесненности,housing_Жилая_площадь,housing_Комнат,gross_regional_product,crim_alco_nark_tox,crim_group,retail,regional_production,child_count,retired_count,lat,lon,child_mortality_newborn,drug_alco
Алтайский край,2296353,10211,7.287,14.185,5.706,112764.7,5.495,1.61,10.395,17.5,29.7,2.34,2.34,83.2,18.0,2.4,2.38,0.4,0.046,1.25,3.03,21.3,33.0,53.3468,83.7768,0.9,0.005
Амурская область,781846,13530,7.95,16.452,6.489,83412.0,5.837,0.714,8.649,15.2,21.7,2.62,2.62,77.3,17.3,2.3,3.52,0.4,0.066,1.51,3.19,22.9,29.5,50.2839,127.5414,1.0,0.018
Архангельская область,1082662,13304,7.654,13.85,5.896,99842.1,3.506,0.886,7.909,12.3,21.4,2.62,2.62,83.3,16.9,2.4,3.22,0.4,0.098,1.57,3.84,20.9,37.6,64.5401,40.5433,0.8,0.007
Астраханская область,997778,10793,4.287,8.889,3.823,64679.9,6.568,0.858,8.174,15.6,31.4,2.33,2.33,77.5,19.2,2.3,4.07,0.3,0.082,1.35,5.61,22.8,26.4,46.3476,48.0302,1.1,0.002
Белгородская область,1541259,9593,12.428,26.044,7.881,74637.4,3.226,0.929,3.046,7.2,16.1,3.42,3.42,86.3,17.8,2.6,5.62,0.1,0.044,2.06,10.98,18.9,33.2,50.5956,36.5873,0.8,0.003
Брянская область,1182682,10950,8.765,15.999,6.866,77439.0,6.093,0.503,7.018,13.6,23.1,2.61,2.61,94.7,24.1,3.2,2.64,0.3,0.058,1.72,3.65,19.1,35.2,53.2434,34.3634,0.8,0.007
Владимирская область,1342099,10808,8.83,17.779,5.896,94163.6,4.35,0.6,7.55,12.5,26.0,2.4,2.4,81.8,16.1,2.2,3.16,0.2,0.049,1.37,6.68,18.7,34.0,56.129,40.4066,0.7,0.006
Волгоградская область,2474556,9864,6.746,13.653,5.101,64210.5,5.498,0.476,5.926,11.9,25.1,2.52,2.52,82.7,17.9,2.5,3.33,0.3,0.067,1.41,6.17,19.2,30.7,48.7082,44.5152,0.8,0.003
Вологодская область,1151042,11428,7.863,16.56,5.459,91608.4,5.517,0.294,6.989,12.8,25.9,2.58,2.58,87.5,16.9,2.2,3.97,0.3,0.077,1.33,9.85,21.7,32.3,59.2205,39.8915,0.9,0.005
Воронежская область,2305608,9053,9.178,18.461,6.408,55009.9,2.422,0.195,5.882,8.5,21.6,3.54,3.54,87.0,19.9,2.6,4.23,0.2,0.051,2.32,5.74,17.8,32.4,51.6615,39.2003,0.8,0.004
Еврейская автономная область,156500,15416,7.79,15.787,6.682,70367.2,8.213,2.549,12.838,23.6,31.2,1.82,1.82,82.2,13.8,2.2,2.16,0.3,0.036,0.91,1.93,23.5,29.4,48.7946,132.9218,1.0,0.097
Забайкальский край,1053485,12999,7.181,15.745,6.179,65922.4,6.981,1.505,12.394,20.9,26.5,2.08,2.08,81.9,17.1,2.4,2.58,0.6,0.094,1.06,2.92,25.4,26.9,52.0317,113.5009,1.2,0.008
Ивановская область,987032,10581,7.596,15.589,5.141,88473.5,6.508,0.685,6.508,13.7,25.1,2.48,2.48,76.9,18.1,2.4,2.16,0.2,0.056,1.42,3.51,18.6,32.6,57.0003,40.9714,0.8,0.009
Иркутская область,2375021,11982,8.573,15.246,8.513,99980.3,7.304,1.232,9.064,17.6,28.6,2.3,2.3,79.8,16.3,2.4,4.39,0.4,0.063,1.15,7.13,24.4,31.7,52.287,104.281,1.1,0.004
Кабардино-Балкарская Республика,869191,11311,6.468,13.222,6.395,44792.0,8.688,1.621,13.891,24.2,34.4,1.94,1.94,71.0,18.9,3.3,1.55,0.1,0.052,1.14,0.85,23.8,23.4,43.4853,43.607,1.2,0.007
Калининградская область,1018624,12084,6.504,15.615,4.221,82758.6,3.928,0.823,8.748,13.5,12.6,2.44,2.44,80.7,15.6,2.3,3.66,0.2,0.034,1.26,8.83,19.6,27.3,54.7104,20.5109,0.9,0.008
Калужская область,1000980,10964,7.508,15.385,5.314,75548.6,3.017,1.785,4.889,9.7,16.9,2.96,2.96,79.9,15.5,2.2,4.24,0.2,0.126,1.63,14.03,18.7,31.7,54.5293,36.2754,0.9,0.006
Камчатский край,311667,21524,4.178,7.937,3.711,77458.3,6.22,0.861,7.519,14.6,13.3,2.57,2.57,73.2,15.9,2.2,3.65,0.4,0.064,0.78,4.44,21.0,29.5,53.0167,158.65,1.0,0.023
Карачаево-Черкесская Республика,465357,10277,11.061,17.815,12.435,63347.1,6.403,1.601,15.196,23.2,26.5,1.84,1.84,71.0,18.3,2.9,1.68,0.2,0.126,0.68,1.41,22.7,26.9,44.2233,42.0578,1.1,0.006
Кемеровская область,2633446,10403,8.012,15.171,6.767,86241.9,5.24,0.594,7.366,13.2,23.0,2.44,2.44,85.4,16.3,2.4,3.14,0.4,0.055,1.23,9.22,21.9,32.4,55.3443,86.0821,0.9,0.002
Кировская область,1250173,10710,9.339,19.317,5.807,74475.5,5.712,0.476,7.798,14.0,27.6,2.26,2.26,85.7,14.9,2.2,2.45,0.4,0.055,1.27,3.81,20.3,34.9,58.5966,49.6601,0.8,0.005
Костромская область,628423,11010,8.951,17.615,6.671,71386.8,4.988,0.825,6.688,12.5,22.5,2.34,2.34,80.7,14.5,2.2,2.45,0.3,0.065,1.36,4.21,20.6,33.4,57.7665,40.9269,0.9,0.011
Краснодарский край,5683947,11261,7.446,15.998,5.588,67335.5,4.087,0.718,5.595,10.4,25.7,3.27,3.27,78.4,18.1,2.8,3.41,0.1,0.049,1.94,2.83,20.9,29.0,45.0355,38.9747,1.0,0.0
Красноярский край,2855899,13053,6.284,12.082,5.592,78434.8,6.086,0.816,10.098,17.0,24.8,2.52,2.52,83.3,16.6,2.3,6.08,0.3,0.063,1.26,11.5,22.2,29.8,56.0153,92.8932,1.0,0.003
Курганская область,818570,10452,8.623,15.406,7.296,96602.5,7.604,0.463,11.233,19.3,26.1,2.09,2.09,85.6,16.7,2.4,2.35,0.5,0.13,1.17,2.92,21.7,35.9,55.441,65.3411,0.9,0.012
Курская область,1096488,9997,10.671,16.855,10.204,54094.0,3.386,0.644,5.861,9.9,23.2,2.98,2.98,85.0,17.1,2.4,4.06,0.2,0.068,1.73,5.76,18.8,35.9,51.7373,36.1874,0.8,0.005
Ленинградская область,1892711,11289,6.726,17.925,3.571,66653.9,1.653,1.479,5.577,8.7,16.7,2.94,2.94,79.8,17.0,2.1,4.88,0.2,0.042,1.89,10.12,17.2,26.3,59.9343,30.3351,0.7,0.002
Липецкая область,1128192,9828,9.895,18.925,7.35,66621.8,3.36,0.067,4.981,8.4,22.3,3.28,3.28,82.5,16.5,2.5,4.63,0.2,0.042,2.01,11.71,19.3,34.2,52.6031,39.5708,0.8,0.007
Магаданская область,139034,20830,3.593,5.57,3.878,67012.9,2.671,1.0,5.029,8.7,11.1,3.4,3.4,80.3,13.8,1.9,8.14,0.4,0.065,0.98,15.41,21.2,31.6,59.5638,150.8128,0.9,0.096
Москва,12655050,17740,7.66,22.536,3.664,64633.3,2.304,0.792,2.91,6.0,17.5,4.36,4.36,75.6,13.8,2.0,7.36,0.1,0.071,1.92,7.26,17.1,24.5,55.7558,37.6173,1.0,0.0
Московская область,7708499,13169,5.245,12.987,3.397,70054.0,3.393,0.388,3.019,6.8,19.4,3.57,3.57,77.8,14.8,2.1,4.33,0.1,0.055,2.2,5.78,19.8,26.3,55.7558,37.6173,1.0,0.001
Мурманская область,732864,17723,3.8,6.665,3.472,87319.0,4.414,0.04,5.636,10.1,22.8,2.62,2.62,83.6,17.7,2.2,5.04,0.2,0.035,1.14,12.95,21.0,33.2,68.9585,33.0827,0.9,0.007
Ненецкий автономный округ,44389,21757,6.463,12.393,6.161,138231.7,4.286,0.188,4.926,9.4,14.4,3.87,3.87,81.0,20.9,2.7,19.94,0.5,0.07,0.87,45.38,27.0,31.5,67.638,53.0069,1.3,0.415
Нижегородская область,3176552,10372,8.619,18.499,5.286,91127.3,2.98,0.357,6.063,9.4,22.2,3.24,3.24,80.8,17.5,2.3,4.0,0.2,0.077,1.9,7.59,19.1,32.9,56.3269,44.0059,0.9,0.002
Новгородская область,592415,11352,9.197,18.318,6.454,88536.3,5.454,0.177,7.97,13.6,25.3,2.31,2.31,86.3,17.6,2.3,3.46,0.3,0.128,1.5,5.76,19.9,33.9,58.5256,31.2742,0.8,0.011
Новосибирская область,2785836,11845,6.506,13.283,5.173,77378.7,4.706,0.607,8.487,13.8,25.4,2.66,2.66,78.6,16.3,2.3,3.42,0.2,0.064,1.39,3.58,21.1,29.9,55.0084,82.9357,1.0,0.002
Омская область,1903675,10324,6.422,12.304,5.478,85381.7,5.277,0.694,7.643,13.6,29.0,2.65,2.65,84.6,16.9,2.5,3.22,0.2,0.047,1.5,7.92,21.9,31.4,54.9885,73.3245,0.9,0.002
Оренбургская область,1942915,9760,9.273,19.911,6.444,79188.8,5.992,0.462,7.546,14.0,26.6,2.53,2.53,80.2,19.0,2.8,4.6,0.3,0.122,1.45,7.74,22.5,31.8,51.7666,55.0983,1.0,0.005
Орловская область,724686,10378,8.036,14.032,6.405,94883.0,5.354,1.032,6.515,12.9,25.0,2.59,2.59,83.4,18.8,2.7,3.13,0.2,0.058,1.57,3.32,18.6,37.0,52.9651,36.0785,0.8,0.013
Пензенская область,1290898,9610,7.233,13.913,5.179,73083.1,4.251,1.664,7.085,13.0,22.4,2.51,2.51,82.9,16.9,2.5,3.29,0.2,0.051,1.49,3.94,18.0,34.2,53.2007,45.0044,0.7,0.011
Пермский край,2579261,10844,7.468,16.119,5.376,94982.5,5.52,0.492,7.288,13.3,23.0,2.79,2.79,84.6,16.0,2.4,4.16,0.3,0.078,1.65,8.94,22.7,30.9,58.0105,56.2502,1.0,0.004
Приморский край,1877844,14025,5.618,11.554,4.491,72917.4,6.448,0.546,6.006,13.0,23.5,2.66,2.66,79.0,15.7,2.2,3.46,0.3,0.045,1.37,2.17,20.1,28.7,43.1198,131.8869,1.0,0.005
Псковская область,620249,11441,7.421,13.598,6.0,70723.5,4.795,1.507,9.882,16.2,24.7,2.31,2.31,79.2,15.0,2.1,2.37,0.3,0.159,1.46,3.35,18.8,33.5,57.8136,28.3496,0.8,0.015
Республика Адыгея,463167,9876,6.947,14.348,5.944,66252.3,5.575,0.675,6.262,12.5,20.2,3.07,3.07,67.2,19.6,3.1,2.61,0.1,0.05,1.95,2.22,21.9,27.4,44.6098,40.1006,1.0,0.012
Республика Алтай,220954,10697,9.311,20.811,8.516,89433.5,10.591,0.69,12.519,23.8,19.8,2.03,2.03,86.5,14.4,2.4,2.21,0.7,0.061,1.05,0.61,30.5,27.6,51.9581,85.9603,1.3,0.036
Республика Башкортостан,4013786,9834,5.976,12.801,4.579,84448.9,4.652,0.522,6.426,11.6,22.4,3.08,3.08,77.4,17.4,2.4,3.6,0.3,0.037,1.92,6.52,22.7,29.6,54.7388,55.9721,1.0,0.002
Республика Бурятия,985431,12333,7.467,15.552,7.143,61456.1,8.298,0.736,10.865,19.9,25.5,2.12,2.12,77.3,17.2,2.4,2.08,0.5,0.064,1.35,2.42,27.0,26.8,51.8405,107.5414,1.3,0.005
