region,lat,lon
Алтайский край,53.3468,83.7768
Амурская область,50.2839,127.5414
Архангельская область,64.5401,40.5433
Астраханская область,46.3476,48.0302
Белгородская область,50.5956,36.5873
Брянская область,53.2434,34.3634
Владимирская область,56.129,40.4066
Волгоградская область,48.7082,44.5152
Вологодская область,59.2205,39.8915
Воронежская область,51.6615,39.2003
Еврейская автономная область,48.7946,132.9218
Забайкальский край,52.0317,113.5009
Ивановская область,57.0003,40.9714
Иркутская область,52.287,104.281
Кабардино-Балкарская Республика,43.4853,43.607
Калининградская область,54.7104,20.5109
Калужская область,54.5293,36.2754
Камчатский край,53.0167,158.65
Карачаево-Черкесская Республика,44.2233,42.0578
Кемеровская область,55.3443,86.0821
Кировская область,58.5966,49.6601
Костромская область,57.7665,40.9269
Краснодарский край,45.0355,38.9747
Красноярский край,56.0153,92.8932
Курганская область,55.441,65.3411
Курская область,51.7373,36.1874
Ленинградская область,59.9343,30.3351
Липецкая область,52.6031,39.5708
Магаданская область,59.5638,150.8128
Москва,55.7558,37.6173
Московская область,55.7558,37.6173
Мурманская область,68.9585,33.0827
Ненецкий автономный округ,67.638,53.0069
Нижегородская область,56.3269,44.0059
Новгородская область,58.5256,31.2742
Новосибирская область,55.0084,82.9357
Омская область,54.9885,73.3245
Оренбургская область,51.7666,55.0983
Орловская область,52.9651,36.0785
Пензенская область,53.2007,45.0044
Пермский край,58.0105,56.2502
Приморский край,43.1198,131.8869
Псковская область,57.8136,28.3496
Республика Адыгея,44.6098,40.1006
Республика Алтай,51.9581,85.9603
Республика Башкортостан,54.7388,55.9721
Республика Бурятия,51.8405,107.5414
Республика Дагестан,42.9831,47.5046
Республика Ингушетия,43.1669,44.8058
Республика Калмыкия,46.3078,44.2558
Республика Карелия,61.7849,34.3469
Республика Коми,61.6688,50.8365
Республика Крым,44.9521,34.1024
Республика Марий Эл,56.6316,47.8861
Республика Мордовия,54.1838,45.1838
Республика Саха,62.0308,129.7326
Республика Северная Осетия-Алания,43.0367,44.6678
Республика Татарстан,55.7887,49.1221
Республика Тыва,51.7147,94.4534
Республика Хакасия,53.7223,91.4431
Ростовская область,47.2357,39.7015
Рязанская область,54.6269,39.7339
Самарская область,53.1959,50.1002
Санкт-Петербург,59.9343,30.3351
Саратовская область,51.5406,46.0086
Сахалинская область,46.9541,142.736
Свердловская область,56.8389,60.6057
Севастополь,44.6167,33.5254
Смоленская область,54.7818,32.0401
Ставропольский край,45.0428,41.9734
Тамбовская область,52.7317,41.4433
Тверская область,56.8584,35.9006
Томская область,56.4977,84.9744
Тульская область,54.1961,37.6182
Тюменская область,57.1522,65.5272
Удмуртская Республика,56.8498,53.2045
Ульяновская область,54.3142,48.4031
Хабаровский край,48.4802,135.0719
Ханты-Мансийский автономный округ,61.0042,69.0019
Челябинская область,55.154,61.4291
Чеченская Республика,43.3156,45.6958
Чувашская Республика,56.1322,47.2515
Чукотский автономный округ,64.733,177.513
Ямало-Ненецкий автономный округ,66.5299,66.6019
Ярославская область,57.6261,39.8845
